model,repeat,r2,mae,rmse
XGB,5,0.8453345465603233,6.323870610221455,11.028213690189693
HistGB,5,0.8636126895160442,5.912336254804891,10.356082363333856
LR,6,0.34910072656506064,17.71984071795437,22.029002707777277
KNN,6,0.6080572925187385,9.136182300949717,17.094217958594257
ANN,6,0.5171829959134384,14.763920513809252,18.97270357151105
Cubist,6,0.7668602963627071,8.150206553318094,13.18396565413784
RF,6,0.7754649005327113,8.651937297201501,12.938384785501636
XGB,6,0.823282816349322,6.427073799493776,11.478293717774802
HistGB,6,0.817136105811398,6.806877056874602,11.676210743886598
LR,7,0.3355415225558207,18.944789725271796,23.519680695838318
KNN,7,0.7216275560411023,8.083482670521242,15.223363561944668
ANN,7,0.47993687171290067,16.093098717602782,20.807769587465145
Cubist,7,0.7636405813465252,9.047443781271236,14.02761877474739
RF,7,0.7848287834107155,8.92006264047945,13.384112726825816
XGB,7,0.8086463707651333,6.675429807157897,12.621641772020455
HistGB,7,0.8209601126920535,6.832169155290262,12.208783601321077
LR,8,0.433264406754596,17.440401309141322,21.970995565708925
KNN,8,0.7724046892616547,7.166772688253414,13.923266852749338
ANN,8,0.5712772068080554,14.45158584439016,19.10943201176282
Cubist,8,0.8328788422192513,7.502044920913748,11.930955058743008
RF,8,0.8253446226911298,8.349687655181976,12.196928350731893
XGB,8,0.8562031080000936,6.094623299182364,11.067110384558902
HistGB,8,0.8601784399690658,6.300457017100245,10.913060520194545
LR,9,0.3762771252738236,17.356630925093576,22.106646497291052
KNN,9,0.7200518260802362,8.603905482713435,14.81036801242505
ANN,9,0.5220401704925424,14.409777762737946,19.351860709978677
Cubist,9,0.7822854205318773,8.286450573378596,13.060830313504969
RF,9,0.7149864616714376,9.546825158345895,14.943756264989904
XGB,9,0.7912117818373874,7.090481794804326,12.790279193962727
HistGB,9,0.8048453823719737,7.246590048073888,12.36563566525133
LR,10,0.451712144426336,16.9693856825595,20.8705944433034
KNN,10,0.776384373393938,7.574019158772515,13.328509333631166
ANN,10,0.5796564944570903,13.9095304375658,18.27396028083019
Cubist,10,0.8329763406685899,7.41051475786267,11.519125315143622
RF,10,0.8408386380031121,7.57684627316353,11.244737695676283
XGB,10,0.8748017487078581,5.395249548583028,9.97308767875765
HistGB,10,0.8805841232818112,5.743712496149439,9.740057964782533
LR,11,0.37957030707483386,17.827171179142365,21.776754953491462
KNN,11,0.7082643039464994,8.452685640604441,14.93281424483789
ANN,11,0.4871112340707323,15.337758992330633,19.79969363061079
Cubist,11,0.8168473734656073,7.966095490041929,11.83187172314054
RF,11,0.795800138139569,8.442423924594593,12.493226075283847
XGB,11,0.8239492650465655,6.8456154266064475,11.600208579733598
HistGB,11,0.8438081494923495,6.725629523576273,10.926374005004293
LR,12,0.39297744593946393,17.39012126196923,21.81672354919957
KNN,12,0.7771900774265667,6.960495121459395,13.217653982000629
ANN,12,0.5614172180720556,14.178216139530731,18.544405006448464
Cubist,12,0.7726482702275166,8.525991095556225,13.351690176588807
RF,12,0.8144072342914821,8.339649066237039,12.063341891671385
XGB,12,0.85406854541737,6.288833486237133,10.69698952038151
HistGB,12,0.8615148008244282,6.336039735218912,10.420505679734243
LR,13,0.410769954597043,16.87237056457123,21.40990824554545
KNN,13,0.7365018989478105,7.380049468437917,14.317299469884164
