study,model,n_rows,mae,rmse,r2
Hatem Kh. MOHAMED_2025,LR,1,30.70115617674243,30.70115617674243,
Hatem Kh. MOHAMED_2025,KNN,1,22.0,22.0,
Hatem Kh. MOHAMED_2025,ANN,1,11.634389699904105,11.634389699904105,
Hatem Kh. MOHAMED_2025,Cubist,1,3.8253555297851562,3.8253555297851562,
Hatem Kh. MOHAMED_2025,RF,1,2.440515963638788,2.440515963638788,
Hatem Kh. MOHAMED_2025,XGB,1,21.045913696289062,21.045913696289062,
Hatem Kh. MOHAMED_2025,HistGB,1,16.9025661038743,16.9025661038743,
Hatem Kh. MOHAMED_2026,LR,1,34.79473640910636,34.79473640910636,
Hatem Kh. MOHAMED_2026,KNN,1,0.0,0.0,
Hatem Kh. MOHAMED_2026,ANN,1,15.456966712313054,15.456966712313054,
Hatem Kh. MOHAMED_2026,Cubist,1,7.339752197265625,7.339752197265625,
Hatem Kh. MOHAMED_2026,RF,1,5.9243601628890445,5.9243601628890445,
Hatem Kh. MOHAMED_2026,XGB,1,2.8047409057617188,2.8047409057617188,
Hatem Kh. MOHAMED_2026,HistGB,1,1.7783121848219992,1.7783121848219992,
Hatem Kh. MOHAMED_2027,LR,1,34.78887944953649,34.78887944953649,
Hatem Kh. MOHAMED_2027,KNN,1,0.0,0.0,
Hatem Kh. MOHAMED_2027,ANN,1,15.455023023882418,15.455023023882418,
Hatem Kh. MOHAMED_2027,Cubist,1,3.3231658935546875,3.3231658935546875,
Hatem Kh. MOHAMED_2027,RF,1,5.63702155133619,5.63702155133619,
Hatem Kh. MOHAMED_2027,XGB,1,1.6322555541992188,1.6322555541992188,
Hatem Kh. MOHAMED_2027,HistGB,1,4.754195337684635,4.754195337684635,
Hatem Kh. MOHAMED_2028,LR,1,33.75818775370636,33.75818775370636,
Hatem Kh. MOHAMED_2028,KNN,1,1.0,1.0,
Hatem Kh. MOHAMED_2028,ANN,1,14.66301074593774,14.66301074593774,
Hatem Kh. MOHAMED_2028,Cubist,1,0.3379974365234375,0.3379974365234375,
Hatem Kh. MOHAMED_2028,RF,1,4.490690423611184,4.490690423611184,
Hatem Kh. MOHAMED_2028,XGB,1,0.23490142822265625,0.23490142822265625,
Hatem Kh. MOHAMED_2028,HistGB,1,5.276546273441241,5.276546273441241,
Hatem Kh. MOHAMED_2029,LR,1,34.79473640910635,34.79473640910635,
Hatem Kh. MOHAMED_2029,KNN,1,0.0,0.0,
Hatem Kh. MOHAMED_2029,ANN,1,15.994244060378726,15.994244060378726,
Hatem Kh. MOHAMED_2029,Cubist,1,7.339752197265625,7.339752197265625,
Hatem Kh. MOHAMED_2029,RF,1,5.893195044114492,5.893195044114492,
Hatem Kh. MOHAMED_2029,XGB,1,2.8047409057617188,2.8047409057617188,
Hatem Kh. MOHAMED_2029,HistGB,1,1.7783121848219992,1.7783121848219992,
Hatem Kh. MOHAMED_2030,LR,1,32.30302445597114,32.30302445597114,
Hatem Kh. MOHAMED_2030,KNN,1,2.0,2.0,
Hatem Kh. MOHAMED_2030,ANN,1,11.51835968212464,11.51835968212464,
Hatem Kh. MOHAMED_2030,Cubist,1,3.51043701171875,3.51043701171875,
Hatem Kh. MOHAMED_2030,RF,1,5.64736981925293,5.64736981925293,
Hatem Kh. MOHAMED_2030,XGB,1,3.8301849365234375,3.8301849365234375,
Hatem Kh. MOHAMED_2030,HistGB,1,4.037915061194951,4.037915061194951,
Hatem Kh. MOHAMED_2031,LR,1,29.85427850069003,29.85427850069003,
Hatem Kh. MOHAMED_2031,KNN,1,2.0,2.0,
Hatem Kh. MOHAMED_2031,ANN,1,10.409093841873883,10.409093841873883,
